github.com/sg-evals/public-apis-public-apis	public-apis/public-apis
github.com/sg-evals/openclaw-openclaw	openclaw/openclaw
github.com/sg-evals/obra-superpowers	obra/superpowers
github.com/sg-evals/react-react	react/react
github.com/sg-evals/affaan-m-ECC	affaan-m/ECC
github.com/sg-evals/NousResearch-hermes-agent	NousResearch/hermes-agent
github.com/sg-evals/n8n-io-n8n	n8n-io/n8n
github.com/sg-evals/ohmyzsh-ohmyzsh	ohmyzsh/ohmyzsh
github.com/sg-evals/Significant-Gravitas-AutoGPT	Significant-Gravitas/AutoGPT
github.com/sg-evals/flutter-flutter	flutter/flutter
github.com/sg-evals/ollama-ollama	ollama/ollama
github.com/sg-evals/twbs-bootstrap	twbs/bootstrap
github.com/sg-evals/firecrawl-firecrawl	firecrawl/firecrawl
github.com/sg-evals/Genymobile-scrcpy	Genymobile/scrcpy
github.com/sg-evals/vercel-next.js	vercel/next.js
github.com/sg-evals/yt-dlp-yt-dlp	yt-dlp/yt-dlp
github.com/sg-evals/microsoft-markitdown	microsoft/markitdown
github.com/sg-evals/langflow-ai-langflow	langflow-ai/langflow
github.com/sg-evals/langgenius-dify	langgenius/dify
github.com/sg-evals/open-webui-open-webui	open-webui/open-webui
github.com/sg-evals/langchain-ai-langchain	langchain-ai/langchain
github.com/sg-evals/ytdl-org-youtube-dl	ytdl-org/youtube-dl
github.com/sg-evals/anthropics-claude-code	anthropics/claude-code
github.com/sg-evals/microsoft-PowerToys	microsoft/PowerToys
github.com/sg-evals/iptv-org-iptv	iptv-org/iptv
github.com/sg-evals/clash-verge-rev-clash-verge-rev	clash-verge-rev/clash-verge-rev
github.com/sg-evals/msitarzewski-agency-agents	msitarzewski/agency-agents
github.com/sg-evals/excalidraw-excalidraw	excalidraw/excalidraw
github.com/sg-evals/react-react-native	react/react-native
github.com/sg-evals/electron-electron	electron/electron
github.com/sg-evals/github-spec-kit	github/spec-kit
github.com/sg-evals/Comfy-Org-ComfyUI	Comfy-Org/ComfyUI
github.com/sg-evals/ggml-org-llama.cpp	ggml-org/llama.cpp
github.com/sg-evals/shadcn-ui-ui	shadcn-ui/ui
github.com/sg-evals/rustdesk-rustdesk	rustdesk/rustdesk
github.com/sg-evals/farion1231-cc-switch	farion1231/cc-switch
github.com/sg-evals/rust-lang-rust	rust-lang/rust
github.com/sg-evals/godotengine-godot	godotengine/godot
github.com/sg-evals/mrdoob-three.js	mrdoob/three.js
github.com/sg-evals/d3-d3	d3/d3
github.com/sg-evals/2dust-v2rayN	2dust/v2rayN
github.com/sg-evals/microsoft-TypeScript	microsoft/TypeScript
github.com/sg-evals/axios-axios	axios/axios
github.com/sg-evals/tauri-apps-tauri	tauri-apps/tauri
github.com/sg-evals/fatedier-frp	fatedier/frp
github.com/sg-evals/denoland-deno	denoland/deno
github.com/sg-evals/immich-app-immich	immich-app/immich
github.com/sg-evals/supabase-supabase	supabase/supabase
github.com/sg-evals/google-gemini-gemini-cli	google-gemini/gemini-cli
github.com/sg-evals/nextlevelbuilder-ui-ux-pro-max-skill	nextlevelbuilder/ui-ux-pro-max-skill
github.com/sg-evals/openai-whisper	openai/whisper
github.com/sg-evals/browser-use-browser-use	browser-use/browser-use
github.com/sg-evals/microsoft-terminal	microsoft/terminal
github.com/sg-evals/neovim-neovim	neovim/neovim
github.com/sg-evals/angular-angular	angular/angular
github.com/sg-evals/fastapi-fastapi	fastapi/fastapi
github.com/sg-evals/ant-design-ant-design	ant-design/ant-design
github.com/sg-evals/mui-material-ui	mui/material-ui
github.com/sg-evals/harry0703-MoneyPrinterTurbo	harry0703/MoneyPrinterTurbo
github.com/sg-evals/tailwindlabs-tailwindcss	tailwindlabs/tailwindcss
github.com/sg-evals/puppeteer-puppeteer	puppeteer/puppeteer
github.com/sg-evals/hacksider-Deep-Live-Cam	hacksider/Deep-Live-Cam
github.com/sg-evals/nvm-sh-nvm	nvm-sh/nvm
github.com/sg-evals/microsoft-playwright	microsoft/playwright
github.com/sg-evals/storybookjs-storybook	storybookjs/storybook
github.com/sg-evals/bitcoin-bitcoin	bitcoin/bitcoin
github.com/sg-evals/home-assistant-core	home-assistant/core
github.com/sg-evals/mermaid-js-mermaid	mermaid-js/mermaid
github.com/sg-evals/louislam-uptime-kuma	louislam/uptime-kuma
github.com/sg-evals/gohugoio-hugo	gohugoio/hugo
github.com/sg-evals/gin-gonic-gin	gin-gonic/gin
github.com/sg-evals/3b1b-manim	3b1b/manim
github.com/sg-evals/modelcontextprotocol-servers	modelcontextprotocol/servers
github.com/sg-evals/ChatGPTNextWeb-NextChat	ChatGPTNextWeb/NextChat
github.com/sg-evals/django-django	django/django
github.com/sg-evals/astral-sh-uv	astral-sh/uv
github.com/sg-evals/thedotmack-claude-mem	thedotmack/claude-mem
github.com/sg-evals/Stirling-Tools-Stirling-PDF	Stirling-Tools/Stirling-PDF
github.com/sg-evals/zed-industries-zed	zed-industries/zed
github.com/sg-evals/sherlock-project-sherlock	sherlock-project/sherlock
github.com/sg-evals/syncthing-syncthing	syncthing/syncthing
github.com/sg-evals/vllm-project-vllm	vllm-project/vllm
github.com/sg-evals/Graphify-Labs-graphify	Graphify-Labs/graphify
github.com/sg-evals/PaddlePaddle-PaddleOCR	PaddlePaddle/PaddleOCR
github.com/sg-evals/localsend-localsend	localsend/localsend
github.com/sg-evals/infiniflow-ragflow	infiniflow/ragflow
github.com/sg-evals/laravel-laravel	laravel/laravel
github.com/sg-evals/realworld-apps-realworld	realworld-apps/realworld
github.com/sg-evals/pewdiepie-archdaemon-odysseus	pewdiepie-archdaemon/odysseus
